INTERNATIONAL POWERLIFTING FEDERATION,,,,,,,,,,,,,,,,,,,,,
"7th World Men's Classic Championships, Helsingborg (Sweden), 04-15.06.2019",,,,,,,,,,,,,,,,,,,,,
DETAILED SCORESHEET,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,
Rnk,   Name,d.o.b.,Team,Bwt,Lot,All Squat,,,,All Bench Press,,,,All Deadlift,,,,Total,IPF Pts,Pts,
7,Negara Sergey,1978,RUS,"73,55",1,"230,0","237,5","242,5",10,"155,0","162,5","162,5",10,"275,0","285,0","295,0",7,"690,0","760,34",4,
8,Eriksson Alexander,1994,SWE,"74,00",11,"225,0","225,0","235,0",13,"167,5","172,5","175,0",4,"260,0","272,5","290,0",13,"682,5","747,85",3,
9,Wong Chris,1985,GBR,"71,08",18,"230,0","240,0","245,0",8,"135,0","145,0","147,5",13,"265,0","285,0","290,0",6,"675,0","760,77",2,
10,Christensen Matti,1995,DEN,"73,60",4,"242,5","252,5","257,5",2,"187,5","190,0","192,5",2,"217,5","227,5","235,0",18,"675,0","741,60",1,
11,Langley Ben,1993,CAN,"73,80",20,"235,0","245,0","250,0",9,"145,0","150,0","152,5",11,"252,5","265,0","272,5",12,"670,0","734,04",1,
12,Sucitra Leonardo,1995,AUS,"73,70",3,"237,5","247,5","252,5",4,"145,0","152,5","152,5",14,"270,0","287,5","287,5",14,"667,5","731,70",1,
13,Cordoba Jorge Perez,1991,ESP,"74,00",10,"210,0","222,5","230,0",14,"127,5","135,0","140,0",15,"260,0","280,0","290,0",8,"642,5","699,05",1,
14,Ochoa Alex,1990,ECU,"73,95",13,"220,0","225,0","235,0",12,"140,0","147,5","152,5",12,"230,0","250,0","260,0",16,"637,5","693,29",1,
15,Reidy Martin,1992,IRL,"72,95",14,"192,5","200,0","205,0",16,"122,5","127,5","130,0",17,"262,5","270,0","275,0",11,"610,0","666,35",1,
16,Karout Shiva,1989,LBN,"72,25",16,"200,0","210,0",   X,15,"135,0","140,0","140,0",16,"230,0","250,0","255,0",15,"600,0","658,73",1,
17,Wu Yi-Heng,1989,TPE,"72,95",5,"185,0","190,0","190,0",18,"105,0","110,0","115,0",19,"275,0","290,0","297,5",4,"595,0","647,88",1,
18,Feng Ching-Hong,1978,TPE,"73,00",6,"170,0","177,5","177,5",19,"172,5","172,5","172,5",5,"230,0","240,0","240,0",17,"580,0","629,09",1,
19,Vikas Damare,1991,IND,"73,10",9,"180,0","195,0","202,5",17,"122,5","130,0","135,0",18,"210,0","225,0","225,0",19,"535,0","573,11",1,
 -83kg,,,,,,,,,,,,,,,,,,,,,
1,Orhii Russel,1994,USA,"82,25",20,"290,0","305,5-w","313,0-w",1,"182,5","190,0","195,0",3,"302,5","315,0","325,0",3,"833,0 -w","866,27",12,
2,Gibbs Brett,1991,NZL,"82,45",9,"275,0","285,0","295,0",4,"200,0","210,0","210,0",2,"302,5","315,0","322,5",6,"820,0","850,05",9,
3,Toubal Fatah,1983,ALG,"81,60",13,"285,0","295,0","295,0",2,"177,5","182,5","185,0",5,"280,0","300,0","317,5",5,"797,5","830,15",8,
4,Anuar Ulan,1993,KAZ,"82,15",1,"270,0","277,5","282,5",6,"180,0","187,5","192,5",4,"310,0","320,0","335,0",7,"775,0","800,70",7,
5,Karlsson Erik,1987,SWE,"82,20",11,"275,0","290,0-c","295,0-c",3,"140,0","147,5","152,5",19,"300,0","317,5","326,5-w",1,"774,0","799,24",6,
6,Hubbard Owen,1992,GBR,"82,45",21,"255,0","267,5","275,0",9,"205,0","215,5","215,5-w",1,"267,5","285,0","295,0",18,"758,0","779,37",5,
7,Hotsonyame Kafui,1993,CAN,"82,05",22,"232,5","245,0","255,0",15,"150,0","160,0","165,0",11,"295,0","312,5","326,0-w",2,"746,0","768,20",4,
8,Nam Damian,1994,IRL,"82,55",8,"260,0","275,0","280,0",5,"150,0","157,5","160,0",14,"290,0","305,0","310,0",9,"745,0","763,92",3,
9,Baik Isaac,1993,CAN,"82,60",4,"260,0","275,0","282,5",10,"165,0","172,5","177,5",6,"280,0","292,5","302,5",13,"745,0","763,61",2,
10,Rus Jure,1991,SLO,"82,25",24,"257,5","270,0","277,5",7,"155,0","162,5","167,5",12,"290,0","302,5","307,5",10,"742,5","762,94",1,
11,Soderling Jonathan,1988,SWE,"82,65",23,"260,0","272,5","277,5",8,"140,0","145,0","147,5",21,"300,0","307,5","317,5",8,"732,5","749,07",1,
12,Spychala Jacek,1978,POL,"82,70",14,"240,0","255,0","262,5-c1",13,"160,0","170,0","175,0",8,"280,0","295,0","305,0",12,"732,5","748,77",1,
13,Kengamu Jurins,1988,GBR,"79,75",2,"255,0","265,0","272,5",11,"145,0","145,0","155,0",17,"285,0","300,0","307,5",11,"727,5","761,67",1,
14,Jones Adam,1987,SGP,"82,85",18,"245,0","260,0","262,5",14,"132,5","140,0","145,0",22,"287,5","305,0","320,0",4,"722,5","736,49",1,
15,Pagelsen Stefan,1992,GER,"82,75",12,"222,5","230,0","235,0",20,"160,0","165,0","167,5",10,"277,5","285,0","297,5",14,"687,5","697,27",1,
16,Mulcahy Darragh,1993,IRL,"82,11",7,"232,5","242,5","245,0",16,"152,5","157,5","160,0",16,"255,0","267,5","282,5",17,"670,0","680,96",1,
17,Hallfors Teemu,1995,FIN,"82,90",10,"215,0","230,0","247,5",21,"177,5","185,0","192,5",7,"245,0","260,0","260,0",19,"652,5","656,65",1,
18,Barrera Godomar Jose,1991,PER,"82,05",6,"202,5","210,0","215,0",22,"147,5","157,5","157,5",15,"272,5","282,5","282,5",15,"645,0","652,72",1,
19,Isezaki Katsushi,1987,JPN,"81,50",16,"215,0","225,0","235,0",19,"160,0","165,0","170,0",9,"220,0","235,0","247,5",21,"640,0","650,00",1,
20,Manca Giuseppe,1990,ITA,"81,10",5,"250,0","267,5","280,0",12,"147,5","152,5","157,5",18,"100,0","160,0","210,0",22,"630,0","640,70",1,
21,Boldbaatar Duvjid,1994,MGL,"82,45",15,"230,0","240,0","250,0",18,"140,0","145,0","150,0",20,"230,0","230,0","237,5",20,"627,5","630,59",1,
—,Sahlberg Ossi,1992,FIN,"82,20",3,"235,0","245,0","250,0",17,"170,0","170,0","170,0",—,"270,0","300,0",   X,16,DSQ,—,—,
—,Dzamukashvili Zurab,1979,GEO,"82,30",17,"190,0","205,0","205,0",23,"160,0","170,0","170,0",13,"300,0",   X,   X,—,DSQ,—,—,
 -93kg,,,,,,,,,,,,,,,,,,,,,
1,Novopismennyi Anatolii,1996,UKR,"92,45",22,"310,0","320,0","330,5",1,"185,0","192,5","197,5",8,"315,0","325,0","335,0",4,"852,5 -w","824,05",12,
2,Hedlund Gustav,1995,SWE,"92,25",17,"282,5","292,5","300,0",3,"192,5","200,0","205,0",3,"312,5","327,5","337,5",2,"842,5","814,50",9,
3,Woolson David,1991,USA,"92,70",32,"277,5","290,0","292,5",7,"180,0","185,0","187,5",15,"340,0","352,5","367,5",1,"830,0","798,71",8,
4,McClain Ls,1978,USA,"92,60",16,"275,0","287,5","287,5",13,"205,0","215,0","220,0-w1",2,"302,5","322,5","335,0",6,"817,5","785,94",7,
5,Pigott Barry,1991,IRL,"92,70",10,"280,0","285,0","287,5",9,"215,0","220,0","222,5",1,"285,0","292,5","295,0",19,"802,5","769,44",6,
6,Gerginov Vladislav,1995,BUL,"92,35",19,"295,0","310,0","315,0",4,"200,0","205,0","205,0",6,"295,0","305,0","305,0",18,"790,0","757,94",5,
7,Usynin Vladimir,1994,RUS,"91,25",8,"280,0","292,5","292,5",10,"187,5","197,5","200,0",4,"290,0","305,0","310,0",10,"785,0","758,34",4,
8,Ouellet-Hebert Alexandre,1991,CAN,"92,70",18,"255,0","267,5","275,0",16,"175,0","185,0","192,5",12,"305,0","320,0","335,0",7,"780,0","745,50",3,
9,Kanane Amar,1987,ALG,"93,00",34,"310,0","310,0","325,0",2,"170,0","175,0","175,0",22,"300,0","320,0","330,0",17,"780,0","743,98",2,
10,Midtby Andre,1991,NOR,"91,50",29,"262,5","270,0","275,0",14,"192,5","200,0","200,0",5,"285,0","292,5","302,5",13,"772,5","743,62",1,
11,Famutimi Hendrick,1984,GBR,"91,65",4,"250,0","262,5","270,0",15,"165,0","172,5","172,5",25,"310,0","325,0","335,0",3,"770,0","740,17",1,
12,van den Boogaard Bob,1995,NED,"92,70",1,"280,0","292,5","297,5",6,"162,5","167,5","167,5",23,"300,0","310,0","315,0",9,"770,0","734,85",1,
13,Haraldsen Knut Martin,1994,NOR,"92,10",7,"265,0","280,0","287,5",8,"190,0","195,0","195,0",14,"285,0","305,0","305,0",21,"762,5","729,86",1,
14,King Jamie,1993,NZL,"92,50",2,"285,0","295,0","300,0",5,"155,0","160,0","162,5",29,"305,0","320,0","320,0",11,"762,5","727,86",1,
15,Liston Ashley,1989,GBR,"92,40",12,"240,0","255,0","262,5",20,"187,5","187,5","195,0",9,"290,0","302,5","317,5",14,"760,0","725,69",1,
16,Joergensen Joakim,1994,DEN,"92,75",23,"250,0","257,5","265,0",23,"165,0","170,0",   X,21,"305,0","320,0","330,0",5,"757,5","721,30",1,
17,De Pender Tanno,1992,NED,"92,30",14,"240,0","250,0","262,5",25,"182,5","190,0","192,5",11,"285,0","300,0","312,5",8,"755,0","720,86",1,
18,Takeda Yusuke,1985,JPN,"91,85",26,"230,0","247,5","265,0",17,"190,0","197,5","202,5",7,"240,0","260,0","272,5",25,"735,0","701,70",1,
19,Ryan Sean,1987,IRL,"91,90",31,"250,0","262,5","270,0",19,"162,5","170,0","172,5",18,"270,0","290,0","300,0",15,"735,0","701,45",1,
20,Smagulov Yerlan,1994,KAZ,"92,90",11,"280,0","290,0","290,0",12,"180,0","190,0","195,0",10,"260,0","290,0",   X,29,"735,0","696,65",1,
21,Horvath Peter,1991,HUN,"92,50",21,"252,5","265,0","270,0",18,"170,0","177,5","185,0",17,"272,5","287,5","287,5",20,"730,0","693,23",1,
22,Solana Guerrero Adrian,1993,ESP,"93,00",24,"245,0","255,0","260,0",22,"160,0","165,0","167,5",28,"305,0","315,0","315,0",12,"730,0","690,86",1,
23,Wu Wei-Chun,1990,TPE,"92,40",5,"265,0","280,0","285,0",11,"175,0","185,0","185,0",16,"250,0","262,5","265,0",30,"715,0","677,71",1,
24,Gaurav Ganesh Ghule,1994,IND,"92,55",27,"230,0","237,5","240,0",27,"167,5","172,5","177,5",19,"280,0","290,0","300,0",16,"712,5","674,34",1,
25,Herrsche Dario,1993,SUI,"92,80",25,"247,5","260,0","267,5",21,"167,5","172,5","175,0",20,"255,0","270,0","280,0",26,"702,5","662,55",1,
26,Taschner Alexander,1989,AUT,"92,85",33,"210,0","220,0","227,5",30,"157,5","162,5","167,5",24,"272,5","282,5","292,5",23,"677,5","635,74",1,
27,Sainkhuu Minjbaatar,1988,MGL,"92,65",20,"220,0","230,0","230,0",31,"165,0","172,5","172,5",26,"275,0","285,0","300,0",22,"670,0","628,63",1,
28,Wewege Tom,1992,RSA,"91,35",3,"215,0","225,0","230,0",29,"150,0","157,5","160,0",30,"270,0","280,0","285,0",24,"667,5","631,70",1,
29,Smit Gian,1990,RSA,"91,00",13,"230,0","240,0","250,0",24,"150,0","155,0","160,0",31,"235,0","260,0","280,0",28,"665,0","630,58",1,
30,Sammalkivi Siim,1987,EST,"92,75",15,"225,0","235,0",   X,28,"160,0","165,0","167,5",27,"265,0","277,5","277,5",27,"665,0","622,88",1,
31,Fernando Hiran,1975,SRI,"91,40",30,"240,0","250,0","250,0",26,"132,5","135,0","135,0",32,"210,0","220,0","227,5",31,"600,0","559,05",1,
—,Niyazov Khurshed,1986,TJK,"91,90",28,"170,0","190,0","205,0",32,"190,0","190,0","205,0",13,"200,0",   X,   X,—,DSQ,—,—,
 -105kg,,,,,,,,,,,,,,,,,,,,,
1,Burks Eli,1987,USA,"102,95",9,"290,0","305,0","305,0",3,"182,5","190,0","195,0",8,"340,0","350,0","355,0",1,"855,0","774,35",12,
2,Hautala Tuomas,1992,FIN,"103,15",12,"265,0","277,5","277,5",12,"195,0","205,0","210,0",4,"330,0","347,5","352,5",2,"840,0","758,40",9,
3,Gross Ernst,1987,RUS,"104,85",18,"310,0","322,5","327,5",1,"195,0","197,5","202,5",7,"310,0","320,0","320,0",10,"840,0","751,11",8,
4,Kuvambayev Zalim,1986,KAZ,"105,00",20,"295,0","295,0","310,0",2,"195,0","202,5","210,0",5,"305,0","315,0","322,5",8,"835,0","745,51",7,
5,Fedotov Timur,1990,RUS,"104,95",2,"280,0","280,0","280,0",11,"205,0","210,0","215,0",3,"315,0","327,5","342,5",4,"822,5","733,29",6,
6,Kulcsar David,1995,HUN,"99,55",13,"267,5","282,5","290,0",6,"200,0","207,5","210,0",6,"300,0","320,0","337,5",6,"817,5","751,67",5,
7,Golen Marcin,1983,POL,"104,20",7,"280,0","290,0","290,0",10,"180,0","190,0","195,0",13,"310,0","330,0","340,0",3,"800,0","713,94",4,
8,Sahad Mohamed,1987,ALG,"104,40",6,"292,5","310,0","310,0",5,"180,0","190,0","195,0",9,"310,0","325,0","332,5",9,"797,5","710,64",3,
9,Detabene Roy,1986,NRU,"104,85",14,"280,0","295,0","302,5",4,"180,0","192,5","195,0",10,"275,0","290,0","295,0",14,"787,5","698,88",2,
10,Helmreich Vinzenz,1990,AUT,"103,50",8,"265,0","277,5","285,0",8,"162,5","170,0","175,0",15,"295,0","320,0","330,0",7,"780,0","696,77",1,
11,Konertz Tim-Daniel,1989,GER,"104,75",15,"267,5","270,0","277,5",13,"162,5","167,5","172,5",17,"310,0","322,5","332,5",5,"767,5","679,36",1,
12,Gonchar Artem,1989,UKR,"103,50",10,"265,0","270,0","270,0",16,"185,0","190,0","192,5",11,"300,0","315,0","315,0",12,"762,5","679,24",1,
13,Yezyk Kostiantyn,1991,UKR,"103,95",22,"230,0","240,0","250,0",18,"210,0","217,5","220,0",1,"260,0","275,0","282,5",15,"750,0","664,98",1,
14,Sesel Domen,1995,SLO,"104,95",11,"260,0","272,5","282,5",9,"150,0","157,5","160,0",19,"282,5","297,5","302,5",11,"745,0","656,22",1,
15,Jindrich Jan,1993,CZE,"104,95",3,"260,0","260,0","275,0",15,"167,5","175,0","180,0",16,"280,0","285,0","292,5",13,"742,5","653,73",1,
16,Khuder Enkhbold,1985,MGL,"104,35",1,"290,0","300,0","307,5",7,"192,5","202,5","202,5",12,"250,0",   X,   X,18,"732,5","646,00",1,
17,Hussein Samah,1982,EGY,"104,50",17,"260,0","275,0","275,0",14,"140,0","150,0","165,0",18,"280,0","300,0","305,0",16,"720,0","632,99",1,
18,Kohler Julian,1995,SUI,"103,50",5,"240,0","252,5","257,5",17,"162,5","170,0","175,0",14,"250,0","260,0","267,5",17,"692,5","609,11",1,
19,Kholov Afzalsho,1995,TJK,"100,05",16,"220,0","230,0","240,0",19,"205,0","210,0","215,0",2,"220,0",   X,   X,19,"665,0","593,81",1,
 -120kg,,,,,,,,,,,,,,,,,,,,,
1,Cliffe Tony,1984,GBR,"119,25",13,"300,0","320,0","327,5",2,"225,0","235,0","242,5",1,"320,0","340,0","350,0",1,"920,0 -c","772,37",12,
2,Willis Erik,1990,CAN,"118,55",8,"310,0","310,0","322,5",7,"210,0","225,0","232,5",2,"330,0","342,5","377,5",2,"885,0","742,18",9,
3,Sadowski Piotr,1993,POL,"119,60",12,"320,0","335,0","335,0",4,"210,0","220,0","225,0",3,"320,0","340,0","360,0",6,"885,0","738,58",8,
4,Pavlenko Dmytro,1992,UKR,"117,05",2,"302,5","320,0","330,0",1,"190,0","200,0","207,5",6,"312,5","327,5","335,0",8,"872,5","735,69",7,
5,Grzesik Mateusz,1989,POL,"119,55",6,"300,0","310,0","315,0",5,"210,0","217,5","217,5",5,"325,0","337,5","350,0",7,"862,5","717,81",6,
6,Sommerseth Carl Petter,1985,NOR,"119,80",3,"287,5","297,5","305,0",9,"207,5","215,0","222,5",4,"320,0","342,5","350,0",4,"862,5","716,98",5,
7,Heddrich Paul-Johannes,1991,GER,"119,05",1,"300,0","310,0","315,0",8,"185,0","190,0","195,0",10,"340,0","340,0","362,5",5,"840,0","698,50",4,
8,Gustafsson Emil,1994,SWE,"119,50",9,"275,0","290,0","300,0",10,"195,0","202,5","207,5",7,"300,0","312,5","325,0",9,"832,5","690,06",3,
9,Sekenofsky Baruch,1993,GBR,"119,50",10,"295,0","312,5","322,5",3,"190,0","197,5","200,0",8,"275,0","300,0","320,0",14,"820,0","678,43",2,
10,Costa Matheus,1991,BRA,"118,90",5,"275,0","290,0","295,0",11,"180,0","187,5","187,5",12,"322,5","342,5","352,5",3,"812,5","673,34",1,
11,Leitner Michael,1994,AUT,"118,45",7,"265,0","277,5","282,5",12,"185,0","190,0","190,0",11,"305,0","322,5","342,5",10,"790,0","653,74",1,
12,Bruce Michael,1986,IRL,"110,75",15,"275,0","300,0","312,5",6,"145,0","155,0","160,0",13,"290,0","310,0","312,5",11,"785,0","674,41",1,
13,Power Colin,1982,IRL,"114,30",11,"270,0","270,0","280,0",14,"182,5","187,5","190,0",9,"265,0","290,0","305,0",12,"765,0","643,27",1,
14,Jayathilake Ransilu,1986,SRI,"118,30",16,"255,0","265,0","275,0",13,"137,5","145,0","147,5",14,"305,0","305,0","305,0",13,"727,5","595,75",1,
 120+kg,,,,,,,,,,,,,,,,,,,,,
1,Uepa Jezza,1980,NRU,"191,50",10,"380,0","405,0","407,5",1,"252,5","262,5","265,0",2,"280,0","280,0","300,0",6,"972,5","649,18",12,
2,Rast Siim,1988,EST,"185,40",3,"320,0","337,5","342,5",4,"235,0","247,5","257,5",3,"322,5","340,0","372,5",2,"940,0","633,99",9,
3,Boughalem Ilyas,1987,ALG,"160,25",5,"320,0","340,0","350,0",3,"275,0","282,0-w","290,0-w",1,"282,5","297,5","302,5",7,"937,5","677,20",8,
4,Rico Martin Ruben,1984,ESP,"186,90",6,"350,0","370,0","380,0",2,"220,0","230,0","230,0",5,"320,0","340,0","340,0",4,"920,0","616,41",7,
5,Ringoot Steve,1989,BEL,"142,65",1,"310,0","325,0","332,5",5,"210,0","217,5","220,0",6,"310,0","330,0","340,0",3,"872,5","661,90",6,
6,Saario Jari,1985,FIN,"143,20",4,"300,0","317,5","322,5",7,"195,0","202,5","205,0",8,"340,0","352,5","372,5",1,"862,5","652,05",5,
7,Vercruyce John,1994,BEL,"152,05",2,"275,0","295,0","295,0",9,"195,0","202,5","207,5",7,"275,0","300,0","305,0",5,"782,5","566,02",4,
8,Gleisner Robert,1991,FIN,"159,65",7,"290,0","300,0","300,0",8,"185,0","190,0","195,0",9,"280,0","300,0","300,0",8,"760,0","533,99",3,
9,Lupac David,1991,CZE,"153,65",9,"325,0","340,0","340,0",6,"210,0","222,5","230,0",4,"125,0",   X,   X,9,"680,0","478,20",2,
—,Williams Ray,1986,USA,"176,15",8,"440,0","440,0","440,0",—,"125,0","175,0","175,0",10,   X,   X,   X,—,DSQ,—,—,
